utilization,rms_ll,rms_hyp,rms_rta,edf_util,edf_density,dms_rta
0.10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.15,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.25,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.35,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.40,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.45,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.50,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.55,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.60,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.65,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.70,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.75,0.0400,0.9500,1.0000,1.0000,1.0000,1.0000
0.80,0.0000,0.1100,0.9800,1.0000,1.0000,0.9800
0.85,0.0000,0.0200,0.8500,1.0000,1.0000,0.8500
0.90,0.0000,0.0000,0.4500,1.0000,1.0000,0.4500
0.95,0.0000,0.0000,0.1200,1.0000,1.0000,0.1200
1.00,0.0000,0.0000,0.0000,0.5100,0.5100,0.0000
