task_count,scheduler,avg_response,max_response,miss_ratio,cpu_util
2,RMS,11.5500,29.7000,0.000000,0.2380
2,EDF,11.5500,29.7000,0.000000,0.2380
2,LLF,11.5500,29.7000,0.000000,0.2380
2,DMS,11.5500,29.7000,0.000000,0.2380
2,FCFS,10.3333,18.7000,0.250000,0.0000
2,SJF,10.8077,24.2000,0.187500,0.0000
4,RMS,3.5635,17.6000,0.000000,0.2450
4,EDF,3.5731,17.6000,0.000000,0.2425
4,LLF,4.1750,17.6000,0.000000,0.3515
4,DMS,3.5635,17.6000,0.000000,0.2450
4,FCFS,4.0680,13.7000,0.038462,0.0095
4,SJF,3.8538,16.3000,0.000000,0.0095
6,RMS,2.4313,19.3000,0.000000,0.3755
6,EDF,2.4610,19.3000,0.000000,0.3730
6,LLF,2.6049,19.3000,0.000000,0.4165
6,DMS,2.4313,19.3000,0.000000,0.3755
6,FCFS,3.9493,15.8000,0.074074,0.0005
6,SJF,3.6456,16.9000,0.024691,0.0005
8,RMS,2.6723,18.1000,0.000000,0.4230
8,EDF,2.8230,18.1000,0.000000,0.4115
8,LLF,3.1160,18.1000,0.000000,0.4800
8,DMS,2.6723,18.1000,0.000000,0.4230
8,FCFS,4.1747,17.1000,0.059406,0.0000
8,SJF,3.4079,17.7000,0.000000,0.0000
10,RMS,3.0915,29.8000,0.000000,0.3245
10,EDF,3.0915,29.8000,0.000000,0.3245
10,LLF,4.9723,29.8000,0.000000,0.4620
10,DMS,3.0915,29.8000,0.000000,0.3245
10,FCFS,5.1357,23.6000,0.066667,0.0340
10,SJF,4.1149,26.4000,0.000000,0.0170
12,RMS,2.2892,22.4000,0.000000,0.2550
12,EDF,2.2784,22.4000,0.000000,0.2625
12,LLF,2.3482,22.4000,0.000000,0.3265
12,DMS,2.2892,22.4000,0.000000,0.2550
12,FCFS,3.2260,17.8000,0.029630,0.0275
12,SJF,2.6452,20.6000,0.000000,0.0275
14,RMS,2.1973,22.9000,0.000000,0.1620
14,EDF,2.1987,22.8000,0.000000,0.1620
14,LLF,2.2228,22.8000,0.000000,0.1720
14,DMS,2.1973,22.9000,0.000000,0.1620
14,FCFS,2.4090,15.3000,0.013605,0.0000
14,SJF,2.0732,18.2000,0.000000,0.0015
16,RMS,1.5468,27.3000,0.000000,0.3820
16,EDF,1.5582,26.3000,0.000000,0.3760
16,LLF,1.5800,26.3000,0.000000,0.3930
16,DMS,1.5468,27.3000,0.000000,0.3820
16,FCFS,3.1159,19.7000,0.088785,0.0225
16,SJF,2.2760,22.1000,0.028037,0.0225
18,RMS,2.0760,26.4000,0.000000,0.1760
18,EDF,2.0781,26.4000,0.000000,0.1715
18,LLF,2.2010,26.4000,0.000000,0.2105
18,DMS,2.0760,26.4000,0.000000,0.1760
18,FCFS,2.4069,15.8000,0.010526,0.0040
18,SJF,1.7906,20.7000,0.000000,0.0025
20,RMS,2.1614,17.3000,0.000000,0.1880
20,EDF,2.1663,17.3000,0.000000,0.1815
20,LLF,2.1985,17.3000,0.000000,0.2245
20,DMS,2.1614,17.3000,0.000000,0.1880
20,FCFS,2.1463,14.3000,0.004950,0.0000
20,SJF,1.5446,16.2000,0.000000,0.0000
