period_ratio,scheduler,miss_ratio,avg_response
0.50,RMS,0.000000,2.0833
0.50,EDF,0.000000,2.0833
0.50,LLF,0.000000,2.0833
0.50,DMS,0.000000,2.0833
0.50,FCFS,0.000000,2.0833
0.50,SJF,0.000000,2.0833
0.75,RMS,0.000000,3.1634
0.75,EDF,0.000000,3.1634
0.75,LLF,0.000000,3.1634
0.75,DMS,0.000000,3.1634
0.75,FCFS,0.000000,3.1634
0.75,SJF,0.000000,3.1634
1.00,RMS,0.000000,4.1667
1.00,EDF,0.000000,4.1667
1.00,LLF,0.000000,4.1667
1.00,DMS,0.000000,4.1667
1.00,FCFS,0.000000,4.1667
1.00,SJF,0.000000,4.1667
1.25,RMS,0.000000,5.2250
1.25,EDF,0.000000,5.2250
1.25,LLF,0.000000,5.2250
1.25,DMS,0.000000,5.2250
1.25,FCFS,0.000000,5.2250
1.25,SJF,0.000000,5.2250
1.50,RMS,0.000000,6.2500
1.50,EDF,0.000000,6.2500
1.50,LLF,0.000000,6.2500
1.50,DMS,0.000000,6.2500
1.50,FCFS,0.000000,6.2500
1.50,SJF,0.000000,6.2500
1.75,RMS,0.000000,7.3083
1.75,EDF,0.000000,7.3083
1.75,LLF,0.000000,7.3083
1.75,DMS,0.000000,7.3083
1.75,FCFS,0.000000,7.3083
1.75,SJF,0.000000,7.3083
2.00,RMS,0.000000,8.3333
2.00,EDF,0.000000,8.3333
2.00,LLF,0.000000,8.3333
2.00,DMS,0.000000,8.3333
2.00,FCFS,0.000000,8.3333
2.00,SJF,0.000000,8.3333
2.25,RMS,0.000000,9.5804
2.25,EDF,0.000000,9.5804
2.25,LLF,0.000000,9.5804
2.25,DMS,0.000000,9.5804
2.25,FCFS,0.000000,9.5804
2.25,SJF,0.000000,9.5804
2.50,RMS,0.000000,10.4167
2.50,EDF,0.000000,10.4167
2.50,LLF,0.000000,10.4167
2.50,DMS,0.000000,10.4167
2.50,FCFS,0.000000,10.4167
2.50,SJF,0.000000,10.4167
2.75,RMS,0.000000,11.7682
2.75,EDF,0.000000,11.7682
2.75,LLF,0.000000,11.7682
2.75,DMS,0.000000,11.7682
2.75,FCFS,0.000000,11.7682
2.75,SJF,0.000000,11.7682
3.00,RMS,0.000000,12.8182
3.00,EDF,0.000000,12.8182
3.00,LLF,0.000000,12.8182
3.00,DMS,0.000000,12.8182
3.00,FCFS,0.000000,12.8182
3.00,SJF,0.000000,12.8182
